Branch,examples
BZ B Tech in DS,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}, {'College_Code': 'E239', 'College_Name': 'East West College of Engineering Yelahanka New Town, Bangalore'}, {'College_Code': 'E257', 'College_Name': 'CMR University CHAGALATTI, BANGALORE'}, {'College_Code': 'E240', 'College_Name': 'Dayananda Sagar University Hosur Road, Bangalore'}, {'College_Code': 'E278', 'College_Name': 'Visvesvaraya Technological University Muddenahalli,Chickkaballapur'}]"
"CA CS (AI, Machine Learning)","[{'College_Code': 'E006', 'College_Name': 'M S Ramaiah Institute of Technology Bangalore'}, {'College_Code': 'E014', 'College_Name': 'S J C Institute of Technology Chickballapur'}, {'College_Code': 'E038', 'College_Name': 'B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech. vijayapur'}, {'College_Code': 'E045', 'College_Name': 'Rao Bahadur Y.Mahabaleswarappa Engineering College Bellari'}, {'College_Code': 'E071', 'College_Name': 'Vidya Vardhaka College of Engineering Mysuru'}]"
CB Comp. Sc. and Bus Sys.,"[{'College_Code': 'E057', 'College_Name': 'JSS Science and Technology University(Formerly SJCE) Mysore'}, {'College_Code': 'E255', 'College_Name': 'Gitam School Of Technology BANGALORE RURAL DIST'}, {'College_Code': 'E279', 'College_Name': 'Visvesvaraya Technological University Belgaum'}, {'College_Code': 'E123', 'College_Name': 'Canara Engineering College Bantwal DK DIST'}, {'College_Code': 'E129', 'College_Name': 'St. Joseph Engineering College Mangalore'}]"
CC Computer and Comm. Engg.,"[{'College_Code': 'E049', 'College_Name': 'Basaveshwara Engineering College Bagalkot'}, {'College_Code': 'E257', 'College_Name': 'CMR University CHAGALATTI, BANGALORE'}, {'College_Code': 'E091', 'College_Name': 'K S Institute of Technology Bangalore'}]"
CD Computer Sc. and Design,"[{'College_Code': 'E007', 'College_Name': 'Dayananda Sagar College of Engineering Bangalore'}, {'College_Code': 'E011', 'College_Name': 'M V J College of Engineering Bangalore'}, {'College_Code': 'E028', 'College_Name': 'Tontadarya College of Engineering Gadag'}, {'College_Code': 'E059', 'College_Name': 'P D A College of Engineering Gulbarga'}, {'College_Code': 'E091', 'College_Name': 'K S Institute of Technology Bangalore'}]"
CE Civil,"[{'College_Code': 'E001', 'College_Name': 'University Visveswariah College of Engineering Bangalore'}, {'College_Code': 'E002', 'College_Name': 'S K S J T Institute of Engineering. Bangalore'}, {'College_Code': 'E003', 'College_Name': 'B M S College of Engineering Basavanagudi,Bangalore'}, {'College_Code': 'E004', 'College_Name': 'Dr. Ambedkar Institute Of Technology Bangalore'}, {'College_Code': 'E005', 'College_Name': 'R. V. College of Engineering Bangalore'}]"
CF CS(Artificial Intel.),"[{'College_Code': 'E111', 'College_Name': 'Sri Venkateshwara College of Engineering Bettahalsur(P), Bangalore'}, {'College_Code': 'E241', 'College_Name': 'KLE Technological University(Formerly BVBCET) Dharward Dist'}, {'College_Code': 'E036', 'College_Name': 'KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.) Belgaum'}, {'College_Code': 'E075', 'College_Name': 'Ballari Institute of Technology and Management Near Allipur Bellary'}, {'College_Code': 'E158', 'College_Name': 'Maharaja Institute of Technology-Mysore Belawadi, Mandya Dist'}]"
CG Computer Science and Tech,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}, {'College_Code': 'E240', 'College_Name': 'Dayananda Sagar University Hosur Road, Bangalore'}, {'College_Code': 'E239', 'College_Name': 'East West College of Engineering Yelahanka New Town, Bangalore'}, {'College_Code': 'E172', 'College_Name': 'R.R.Institute of Technology Chikkabanavara, Bangalore'}, {'College_Code': 'E240', 'College_Name': 'Dayananda Sagar University Hosur Road,  Bangalore'}]"
CH Chemical,"[{'College_Code': 'E005', 'College_Name': 'R. V. College of Engineering Bangalore'}, {'College_Code': 'E006', 'College_Name': 'M S Ramaiah Institute of Technology Bangalore'}, {'College_Code': 'E007', 'College_Name': 'Dayananda Sagar College of Engineering Bangalore'}, {'College_Code': 'E011', 'College_Name': 'M V J College of Engineering Bangalore'}, {'College_Code': 'E016', 'College_Name': 'Siddaganga Institute of Technology Tumkur'}]"
CI Computer and Information,"[{'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}]"
CK Civil Engg (Kannada),"[{'College_Code': 'E014', 'College_Name': 'S J C Institute of Technology Chickballapur'}, {'College_Code': 'E044', 'College_Name': 'Bheemanna Khandre Institute of Technology Bhalki'}]"
CL B Tech in EO,"[{'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}, {'College_Code': 'E278', 'College_Name': 'Visvesvaraya Technological University Muddenahalli,Chickkaballapur'}, {'College_Code': 'E279', 'College_Name': 'Visvesvaraya Technological University Belgaum'}]"
CM B Tech in EV,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}, {'College_Code': 'E241', 'College_Name': 'KLE Technological University(Formerly BVBCET) Dharward Dist'}, {'College_Code': 'E279', 'College_Name': 'Visvesvaraya Technological University Belgaum'}]"
CN B Tech in IB,"[{'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}]"
CO Computer Engineering,"[{'College_Code': 'E099', 'College_Name': 'New Horizon College of Engineering Bangalore'}, {'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}, {'College_Code': 'E054', 'College_Name': 'K V G College of Engineering Sullia,D.K District'}, {'College_Code': 'E150', 'College_Name': 'P E S Institute of Technology and Management Shivamogga'}, {'College_Code': 'E158', 'College_Name': 'Maharaja Institute of Technology-Mysore Belawadi, Mandya Dist'}]"
CQ B Tech in IO,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}, {'College_Code': 'E220', 'College_Name': 'Alliance University Bangalore'}]"
CR Ceramics,"[{'College_Code': 'E058', 'College_Name': 'P E S College of Engineering Mandya'}, {'College_Code': 'E059', 'College_Name': 'P D A College of Engineering Gulbarga'}]"
CS Computers,"[{'College_Code': 'E001', 'College_Name': 'University Visveswariah College of Engineering Bangalore'}, {'College_Code': 'E002', 'College_Name': 'S K S J T Institute of Engineering. Bangalore'}, {'College_Code': 'E004', 'College_Name': 'Dr. Ambedkar Institute Of Technology Bangalore'}, {'College_Code': 'E005', 'College_Name': 'R. V. College of Engineering Bangalore'}, {'College_Code': 'E006', 'College_Name': 'M S Ramaiah Institute of Technology Bangalore'}]"
CT Const. Tech. Mgmt.,"[{'College_Code': 'E057', 'College_Name': 'JSS Science and Technology University(Formerly SJCE) Mysore'}]"
CU B Tech in IS,"[{'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}, {'College_Code': 'E235', 'College_Name': 'M.S. Ramaiah University of Applied Sciences Bangalore'}, {'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}, {'College_Code': 'E303', 'College_Name': 'G M UNIVERSITY KARUR VILLAGE, DAVANGERE'}]"
CV Civil Environment Engg,"[{'College_Code': 'E283', 'College_Name': 'University of Mysore Mysore'}, {'College_Code': 'E283', 'College_Name': 'University of Mysore HUNSUR ROAD, MYSORE'}]"
CW B Tech in IT,"[{'College_Code': 'E220', 'College_Name': 'Alliance University Bangalore'}, {'College_Code': 'E257', 'College_Name': 'CMR University CHAGALATTI, BANGALORE'}, {'College_Code': 'E288', 'College_Name': 'Garden City University Bangalore'}, {'College_Code': 'E256', 'College_Name': 'Rai Technology University Mallohalli(V),Doddaballapur(T)'}]"
CX B Tech in IY,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}]"
CY CS- Cyber Security,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}, {'College_Code': 'E240', 'College_Name': 'Dayananda Sagar University Hosur Road, Bangalore'}, {'College_Code': 'E255', 'College_Name': 'Gitam School Of Technology BANGALORE RURAL DIST'}, {'College_Code': 'E006', 'College_Name': 'M S Ramaiah Institute of Technology Bangalore'}, {'College_Code': 'E160', 'College_Name': 'Sahyadri College of Engg. and Management Mangalore'}]"
CZ B Tech in LC,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}]"
DA B Tech in MC,"[{'College_Code': 'E235', 'College_Name': 'M.S. Ramaiah University of Applied Sciences Bangalore'}]"
DB B Tech in ME,"[{'College_Code': 'E009', 'College_Name': 'P E S University (Ring Road Campus) Bangalore'}, {'College_Code': 'E128', 'College_Name': 'Sharnbasva University(Formerly Appa Inst. of Tech.) Brahmpur, Kalaburagi'}, {'College_Code': 'E193', 'College_Name': 'Srinivas University Mukka, Suratkal, Mangalore'}, {'College_Code': 'E220', 'College_Name': 'Alliance University Bangalore'}, {'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}]"
DC Data Sciences,"[{'College_Code': 'E147', 'College_Name': 'T.John Engineering College Bangalore'}, {'College_Code': 'E297', 'College_Name': 'ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY YELAHANKA, BANGALORE'}, {'College_Code': 'E146', 'College_Name': 'Shreedevi Institute of Technology Kenjar, Mangalore'}, {'College_Code': 'E147', 'College_Name': 'T John Institute of Technology Bangalore'}]"
DD B Tech in MS,"[{'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}]"
DE B Tech in PE,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}]"
DF B Tech in RA,"[{'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}, {'College_Code': 'E279', 'College_Name': 'Visvesvaraya Technological University Belgaum'}]"
DG DESIGN,"[{'College_Code': 'E225', 'College_Name': 'S.J.B School of Architecture and Planning Bangalore'}, {'College_Code': 'E260', 'College_Name': 'Nitte School of Architecture YELAHANKA BANGALORE'}]"
DG DG,"[{'College_Code': 'E225', 'College_Name': 'S.J.B School of Architecture and Planning Bangalore'}, {'College_Code': 'E260', 'College_Name': 'Nitte School of Architecture YELAHANKA BANGALORE'}]"
DH B Tech in RAI,"[{'College_Code': 'E239', 'College_Name': 'East West College of Engineering Yelahanka New Town, Bangalore'}, {'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}, {'College_Code': 'E240', 'College_Name': 'Dayananda Sagar University Hosur Road, Bangalore'}, {'College_Code': 'E278', 'College_Name': 'Visvesvaraya Technological University Muddenahalli,Chickkaballapur'}, {'College_Code': 'E240', 'College_Name': 'Dayananda Sagar University Kanakapura road, Ramanagar'}]"
DI B Tech in RE,"[{'College_Code': 'E288', 'College_Name': 'Garden City University Bangalore'}]"
DJ B Tech in RO,"[{'College_Code': 'E235', 'College_Name': 'M.S. Ramaiah University of Applied Sciences Bangalore'}]"
DK B Tech in SS,"[{'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}]"
DL B.TECH IN CS,"[{'College_Code': 'E288', 'College_Name': 'Garden City University Bangalore'}]"
DM B.TECH IN CS NW,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}]"
DN B.Tech in VLSI,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}]"
DS Comp. Sc. Engg- Data Sc.,"[{'College_Code': 'E011', 'College_Name': 'M V J College of Engineering Bangalore'}, {'College_Code': 'E104', 'College_Name': 'Nagarjuna College of Engineering and Technology Bangalore (R)'}, {'College_Code': 'E139', 'College_Name': 'Impact College of Engineering and Applied Sciences Bangalore'}, {'College_Code': 'E160', 'College_Name': 'Sahyadri College of Engg. and Management Mangalore'}, {'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}]"
EA Agriculture Engineering,"[{'College_Code': 'E028', 'College_Name': 'Tontadarya College of Engineering Gadag'}, {'College_Code': 'E169', 'College_Name': 'Alva`s Institute of Engineering and Technology Moodabidri,'}, {'College_Code': 'E239', 'College_Name': 'East West College of Engineering Yelahanka New Town, Bangalore'}, {'College_Code': 'E153', 'College_Name': 'S E A College of Engineering and Technology K R puram bangalore'}, {'College_Code': 'E191', 'College_Name': 'Akshaya Institute of Technology Tumkur'}]"
EB EAT,"[{'College_Code': 'E011', 'College_Name': 'M V J College of Engineering Bangalore'}]"
EC Electronics,"[{'College_Code': 'E001', 'College_Name': 'University Visveswariah College of Engineering Bangalore'}, {'College_Code': 'E002', 'College_Name': 'S K S J T Institute of Engineering. Bangalore'}, {'College_Code': 'E003', 'College_Name': 'B M S College of Engineering Basavanagudi,Bangalore'}, {'College_Code': 'E004', 'College_Name': 'Dr. Ambedkar Institute Of Technology Bangalore'}, {'College_Code': 'E005', 'College_Name': 'R. V. College of Engineering Bangalore'}]"
EE Electrical,"[{'College_Code': 'E001', 'College_Name': 'University Visveswariah College of Engineering Bangalore'}, {'College_Code': 'E003', 'College_Name': 'B M S College of Engineering Basavanagudi,Bangalore'}, {'College_Code': 'E004', 'College_Name': 'Dr. Ambedkar Institute Of Technology Bangalore'}, {'College_Code': 'E005', 'College_Name': 'R. V. College of Engineering Bangalore'}, {'College_Code': 'E006', 'College_Name': 'M S Ramaiah Institute of Technology Bangalore'}]"
EG Energy Engineering,"[{'College_Code': 'E128', 'College_Name': 'Sharnbasva University(Formerly Appa Inst. of Tech.) Brahmpur, Kalaburagi'}, {'College_Code': 'E059', 'College_Name': 'P D A College of Engineering Gulbarga'}]"
EI Elec. Inst. Engg,"[{'College_Code': 'E004', 'College_Name': 'Dr. Ambedkar Institute Of Technology Bangalore'}, {'College_Code': 'E005', 'College_Name': 'R. V. College of Engineering Bangalore'}, {'College_Code': 'E006', 'College_Name': 'M S Ramaiah Institute of Technology Bangalore'}, {'College_Code': 'E007', 'College_Name': 'Dayananda Sagar College of Engineering Bangalore'}, {'College_Code': 'E008', 'College_Name': 'Bangalore Institute of Technology Bangalore'}]"
"EL Electronics, Instr. Tech.","[{'College_Code': 'E021', 'College_Name': 'Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.) Mysore'}]"
EN Environmental,"[{'College_Code': 'E021', 'College_Name': 'JSS Science and Technology University(Formerly SJCE) Mysore'}, {'College_Code': 'E021', 'College_Name': 'Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.) Mysore'}, {'College_Code': 'E018', 'College_Name': 'Kalpatharu Institute of Technology Tiptur'}]"
ER Electrical and Computer,"[{'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}, {'College_Code': 'E255', 'College_Name': 'Gandhi Institute of Technology and MNGT.,Gitam off Campus BANGALORE RURAL DIST'}]"
ES Electronics and Computer,"[{'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}, {'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}, {'College_Code': 'E257', 'College_Name': 'CMR University CHAGALATTI, BANGALORE'}, {'College_Code': 'E279', 'College_Name': 'Visvesvaraya Technological University Belgaum'}, {'College_Code': 'E289', 'College_Name': 'Visvesvaraya Technological University - Regional Center Rajapur,Kalburgi'}]"
ET Elec. Telecommn.,"[{'College_Code': 'E005', 'College_Name': 'R. V. College of Engineering Bangalore'}, {'College_Code': 'E008', 'College_Name': 'Bangalore Institute of Technology Bangalore'}, {'College_Code': 'E017', 'College_Name': 'Sri Siddartha Institute of Technology Tumkur'}, {'College_Code': 'E126', 'College_Name': 'B M S Institute of Technology and Management Yelahanka, Bangalore'}]"
ET Elec. Telecommn. Engg.,"[{'College_Code': 'E004', 'College_Name': 'Dr. Ambedkar Institute Of Technology Bangalore'}, {'College_Code': 'E005', 'College_Name': 'R. V. College of Engineering Bangalore'}, {'College_Code': 'E006', 'College_Name': 'M S Ramaiah Institute of Technology Bangalore'}, {'College_Code': 'E007', 'College_Name': 'Dayananda Sagar College of Engineering Bangalore'}, {'College_Code': 'E008', 'College_Name': 'Bangalore Institute of Technology Bangalore'}]"
EV EC Engg(VLSI Design),"[{'College_Code': 'E008', 'College_Name': 'Bangalore Institute of Technology Bangalore'}, {'College_Code': 'E241', 'College_Name': 'KLE Technological University(Formerly BVBCET) Dharward Dist'}, {'College_Code': 'E011', 'College_Name': 'M V J College of Engineering Bangalore'}, {'College_Code': 'E105', 'College_Name': 'Nitte Meenakshi Institutute of Technology Bangalore'}, {'College_Code': 'E112', 'College_Name': 'Sri Krishna Institute of Technology Bangalore'}]"
EZ ELECTRONICS AND COMPUT,"[{'College_Code': 'E172', 'College_Name': 'R.R.Institute of Technology Chikkabanavara, Bangalore'}]"
IB CS-IoT Block Chain,"[{'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}]"
